ConceptScheme URI,http://data.windenergy.dtu.dk/controlled-terminology/taxonomy-topics/
PREFIX,wetaxtop,http://data.windenergy.dtu.dk/controlled-terminology/taxonomy-topics/
PREFIX,pav,http://purl.org/pav/
PREFIX,dct,http://purl.org/dc/terms/
PREFIX,rdf,http://www.w3.org/1999/02/22-rdf-syntax-ns#
PREFIX,rdfs,http://www.w3.org/2000/01/rdf-schema#
skos:prefLabel,Wind Energy Taxonomy of Topics
dct:title,Taxonomy of Research Topics in Wind Energy
dct:description,A taxonomical organization of research topics in wind energy which follows a typical lifecycle of wind farm development.
dct:creator,http://orcid.org/0000-0003-4124-9040
dct:creator,http://orcid.org/0000-0002-9381-9693
dct:contributor
pav:version,0.1
pav:createdOn,2020-12-01T00:00:00+01:00
pav:lastUpdatedOn,2020-12-01T00:00:00+01:00

Identifier,skos:prefLabel,rdf:type,rdfs:label,skos:definition@en,"skos:altLabel(separator="","")","skos:broader(separator="","")",wetaxtop:IEVref,"skos:exactMatch(separator="","")","dct:creator(separator="","")","dct:contributor(separator="","")",skos:editorialNote@en,skos:note@en
wetaxtop:IEVref,IEV ref,rdf:Property,IEV ref,A code used to identify certain concept in IEC Electropedia (http://www.electropedia.org/),,,,,https://orcid.org/0000-0002-9381-9693
wetaxtop:Economics,Economics,,,,,,,,"http://orcid.org/0000-0003-4124-9040, https://orcid.org/0000-0002-9381-9693",https://orcid.org/0000-0002-9381-9693
wetaxtop:BusinessModels,Business Models,,,A  conceptual structure that supports the viability of wind energy projects and details how they operate to create profit.,,wetaxtop:Economics,,,http://orcid.org/0000-0003-4124-9040,https://orcid.org/0000-0002-9381-9693
wetaxtop:LevelizedCostofEnergyModels,Levelized Cost of Energy Models,,,"An expression of the production cost of each unit of electricity generated over the working life of the plant taking into account wind farm development costs, capital investment, financial costs and lifetime running costs.",,wetaxtop:Economics,,,http://orcid.org/0000-0003-4124-9040,https://orcid.org/0000-0002-9381-9693
wetaxtop:ProjectFinance,Project Finance,,,,,wetaxtop:Economics,,,http://orcid.org/0000-0003-4124-9040,https://orcid.org/0000-0002-9381-9693
wetaxtop:MarketModels,Market Models,,,,,wetaxtop:Economics,,,http://orcid.org/0000-0003-4124-9040,https://orcid.org/0000-0002-9381-9693
wetaxtop:SupportSchemes,Support Schemes,,,,,wetaxtop:Economics,,,http://orcid.org/0000-0003-4124-9040,https://orcid.org/0000-0002-9381-9693
wetaxtop:OperationMaintenance,Operation & Maintenance,,,"Combination of all technical and management actions intended to retain an item in, or restore it to, a state in which it can perform as required.",,,192-06,,http://orcid.org/0000-0003-4124-9040,https://orcid.org/0000-0002-9381-9693
wetaxtop:Commissioning,Commissioning,,,Activities undertaken to prepare a system or product prior to demonstrating that it meets its specified requirements.,,wetaxtop:OperationMaintenance,821-12,,http://orcid.org/0000-0003-4124-9040,https://orcid.org/0000-0002-9381-9693,"SOURCE: IEC 62278:2002, 3.50"
wetaxtop:Decommissioning,Decommissioning,,,Administrative and technical actions taken to allow the removal of some or all of the regulatory controls from a facility,,wetaxtop:OperationMaintenance,395-08,,http://orcid.org/0000-0003-4124-9040,https://orcid.org/0000-0002-9381-9693
wetaxtop:EndofLifeExtension,End-of-Life Extension,,,When the life cycle stage of a product instead of end is extended for a certain period.,,wetaxtop:Decommissioning,904-01-17,,http://orcid.org/0000-0003-4124-9040,https://orcid.org/0000-0002-9381-9693
wetaxtop:ReCertification,Re-Certification,,,,,wetaxtop:EndofLifeExtension,,,http://orcid.org/0000-0003-4124-9040,https://orcid.org/0000-0002-9381-9693
wetaxtop:Recycling,Recycling,,,,,wetaxtop:EndofLifeExtension,,,http://orcid.org/0000-0003-4124-9040,https://orcid.org/0000-0002-9381-9693
wetaxtop:Repowering,Repowering,,,Wind turbines are dismantled and new wind turbines are installed in a brownfield and/or greenfield site.,,wetaxtop:EndofLifeExtension,,,http://orcid.org/0000-0003-4124-9040,https://orcid.org/0000-0002-9381-9693
